,Name,Address,Rating,Website,Latitude,Longitude,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Monday_Hours,Tuesday_Hours,Wednesday_Hours,Thursday_Hours,Friday_Hours,Saturday_Hours,Sunday_Hours,Total_Weekly_Hours,Cuisine_American (New),Cuisine_Barbeque,Cuisine_Empanadas,Cuisine_Latin American,Cuisine_Mexican,Cuisine_Vegetarian,Cuisine_Venezuelan
0,big Jerry Indy food truck,"8522 Madison Ave, Indianapolis, IN 46227, United States",5.0,Not Available,39.6427315,-86.12018,11:00 AM,7:00 PM,11:00 AM,7:30 PM,11:00 AM,7:00 AM,10:30 AM,7:30 PM,10:30 AM,7:00 PM,11:00 AM,8:30 PM,Closed,Closed,8.0,8.5,20.0,9.0,8.5,9.5,0.0,63.5,0,0,1,1,1,0,0
1,Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, United States",4.5,https://www.facebook.com/peregrino1982/,39.8099204,-86.2212091,Closed,Closed,Closed,Closed,5:00 PM,1:00 AM,5:00 PM,1:00 AM,5:00 PM,4:00 AM,5:00 PM,4:00 AM,5:00 PM,1:00 AM,0.0,0.0,8.0,8.0,11.0,11.0,8.0,46.0,0,0,0,0,1,0,0
2,The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, United States",4.1,http://thelatinflavorindy.com/?utm_source=gmb&utm_medium=referral,39.8264053,-86.00684059999999,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,10:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,11:00 PM,11:00 AM,10:00 PM,11.0,11.0,11.0,12.0,12.0,12.0,11.0,80.0,0,0,1,1,1,0,0
3,Mi Lindo Pénjamo - Food Truck,"7910 Michigan Rd, Indianapolis, IN 46268, United States",4.5,https://store.kahero.co/milindopenjamo,39.8975427,-86.2164478,Closed,Closed,7:30 PM,12:00 AM,7:30 PM,12:00 AM,7:30 PM,12:00 AM,7:30 PM,12:00 AM,Closed,Closed,Closed,Closed,0.0,4.5,4.5,4.5,4.5,0.0,0.0,18.0,0,0,0,0,1,0,0
4,Super Tacos food truck,"7202 E Washington St, Indianapolis, IN 46219, United States",4.6,Not Available,39.77254509999999,-86.04034999999999,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
5,Antojitos Guzman food truck #1,"4853 W 56th St, Indianapolis, IN 46254, United States",3.5,https://antojitosguzmanfoodtruck1.business.site/?utm_source=gmb&utm_medium=referral,39.8527225,-86.24143649999999,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
6,Emergency Taco Truck,"7001 Pendleton Pike, Indianapolis, IN 46226, United States",4.7,Not Available,39.827233,-86.04525,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,3:00 PM,12:00 AM,3:00 PM,12:00 AM,Closed,Closed,0.0,0.0,0.0,0.0,9.0,9.0,0.0,18.0,0,0,0,0,1,0,0
7,ClusterTruck,"729 N Pennsylvania St, Indianapolis, IN 46204, United States",4.8,https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,39.7775861,-86.1556021,8:00 AM,10:00 PM,8:00 AM,10:00 PM,8:00 AM,10:00 PM,8:00 AM,10:00 PM,8:00 AM,11:00 PM,10:00 AM,11:00 PM,10:00 AM,9:00 PM,14.0,14.0,14.0,14.0,15.0,13.0,11.0,95.0,0,0,0,0,0,0,0
8,Taco food truck,"5621 N Parker Ave, Indianapolis, IN 46220, United States",0.0,Not Available,39.8557077,-86.1137069,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,12:00 PM,12:00 AM,5:00 PM,12:00 AM,Closed,Closed,0.0,0.0,0.0,0.0,12.0,7.0,0.0,19.0,0,0,0,0,1,0,0
9,La marina Maxican Food Truck,"7155 Madison Ave, Indianapolis, IN 46227, United States",4.0,Not Available,39.6631666,-86.1259341,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
10,El Viejon Food Truck,"3612 W 30th St, Indianapolis, IN 46222, United States",1.0,https://www.elviejonfoodtruckindy.com/,39.8099076,-86.2216177,Closed,Closed,2:30 PM,1:00 AM,2:30 PM,1:00 AM,2:30 PM,1:00 AM,2:30 PM,4:00 AM,2:30 PM,4:00 AM,2:30 PM,12:00 AM,0.0,10.5,10.5,10.5,13.5,13.5,9.5,68.0,0,0,0,0,0,0,0
11,FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222, United States",4.5,Not Available,39.764207,-86.211581,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,2:00 AM,5:00 PM,2:00 AM,5:00 PM,12:00 AM,7.0,7.0,7.0,7.0,9.0,9.0,7.0,53.0,0,0,0,0,0,0,0
12,El Venezolano Food Truck,"9642 Allisonville Rd Suite B, Indianapolis, IN 46250, United States",3.7,Not Available,39.9278647,-86.0658043,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
13,Food truck Mil Amores,"5034 E Raymond St, Indianapolis, IN 46203, United States",4.0,Not Available,39.7386158,-86.0821965,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
14,TACOPOLIS (LA CAPITAL DEL TACO),"4857 W 38th St, Indianapolis, IN 46254, United States",4.4,https://www.instagram.com/tacopolisin/?hl=en,39.8237417,-86.2422862,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,2:30 PM,12:00 AM,2:30 PM,12:30 AM,Closed,Closed,0.0,0.0,0.0,0.0,9.5,10.0,0.0,19.5,0,0,0,0,0,0,0
15,El Amigo Taqueria Food Truck,"3356 W 16th St, Indianapolis, IN 46222, United States",4.3,Not Available,39.7882877,-86.2153062,12:00 PM,12:00 AM,12:00 PM,12:00 AM,12:00 PM,12:00 AM,12:00 PM,12:00 AM,12:00 PM,12:00 AM,12:00 PM,12:00 AM,12:00 PM,12:00 AM,12.0,12.0,12.0,12.0,12.0,12.0,12.0,84.0,0,0,0,0,1,1,0
16,Tortas Guicho Food Truck,"S. East St and, Fletcher Ave, Indianapolis, IN 46204, United States",4.5,Not Available,39.7615103,-86.14899989999999,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,Closed,Closed,Closed,Closed,6.0,6.0,6.0,6.0,6.0,0.0,0.0,30.0,0,0,0,0,1,0,0
17,Wild Boar BBQ Food Truck,"6129 E Washington St, Indianapolis, IN 46219, United States",5.0,http://wildboarbbq.com/,39.7711329,-86.0603883,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
18,KG Slider Station,"3748 Lafayette Rd, Indianapolis, IN 46222, United States",5.0,http://www.keysgourmet.com/#!contact-us/clx0,39.8229185,-86.2344232,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,11:00 AM,10:00 PM,11:00 AM,10:00 PM,Closed,Closed,0.0,0.0,0.0,0.0,11.0,11.0,0.0,22.0,1,0,0,0,0,0,0
19,The Night Owl Food Truck,"South and, S Meridian St, Indianapolis, IN 46225, United States",5.0,http://mercersnightowl.com/,39.76168620000001,-86.15793029999999,Closed,Closed,Closed,Closed,Closed,Closed,8:30 PM,2:30 AM,8:30 PM,3:30 AM,8:30 PM,3:30 AM,6:00 PM,1:00 AM,0.0,0.0,0.0,6.0,7.0,7.0,7.0,27.0,0,0,0,0,0,0,0
